Book Name,Publisher,Author,Discounted Price,Discount Percentage,New Price,Discounted Percentage
Sherlock Holmes 9 - Bir Kimlik Vakası,Kiço Yayınları,Sir Arthur Conan Doyle,,,"17,50",
Sherlock Holmes 7 - Basit Çözümler,Kiço Yayınları,Sir Arthur Conan Doyle,,,"17,50",
Her Şeye Rağmen Ümitli Olmak,Dorlion Yayınları,Nadezhda Yakovlevna,"338,00",38,"209,56",
Güneş Ülkesinde Diriliş - Özgürlüğe Doğuş 2,Payiz Yayınları,İrfan Güler,,,"174,00",
Öz Manzara,Cinius Yayınları,Özge Avcu,"100,00",32,"68,00",
Ölmesini Bilenler,Ravza Yayınları,Aysel Turan,"150,00",38,"93,00",
Semer,Cinius Yayınları,Mehmet Tevli,"100,00",32,"68,00",
İzlerimiz,Cinius Yayınları,Turgut Karabekir,"100,00",28,"72,00",
Yaptım Çünkü Onu Seviyordum,Yaprak Yayınları,Reyman Eray,"60,00",33,"40,20",
Kendimi Bulmaya Gittim,Cinius Yayınları,Havin Mohul,"100,00",32,"68,00",
İlköğretimler İçin Safahat,Arşiv,Mehmet Akif Ersoy,,,"9,00",
Zamane Ağıtları,İtalik Yayınevi,Nurten Baltacı,,,"58,00",
Yürüyüşler ve Duruşlar,Kuzey Kitabevi,Ali Cengizkan,,,"25,00",
Aşk İklimi,Aşiyan Yayınları,Osman Erdoğmuş,"11,00",29,"7,81",
Bir Avuç Zaman,Can Yayınları (Ali Adil Atalay),İzzet Çetin,"80,00",32,"54,40",
Senden Bir Parça Bulabilirsin,Cinius Yayınları,Emre Alan,"100,00",32,"68,00",
Bahar Çiçekleri,Can Yayınları (Ali Adil Atalay),İzzet Çetin,"80,00",32,"54,40",
Aşk Bir Hastalıktır,Düşünce Kitabevi Yayınları,Mircevat Ahiskali,"70,00",23,"53,90",
Nilüfer Çiçeği,Cinius Yayınları,Ali Erdoğan,"100,00",32,"68,00",
Siyah Beyaz ve Kırmızı,Cinius Yayınları,Oğulcan Heybel,"100,00",32,"68,00",
